Date,Price,Open,High,Low,Vol.,Change %
17-Oct-21,53.073,54.0556,54.6431,50.6555,13.25M,-1.80%
16-Oct-21,54.0465,54.3275,55.3625,53.5637,13.28M,-0.51%
15-Oct-21,54.3247,54.5005,56.8469,52.5352,14.50M,-0.32%
14-Oct-21,54.5005,53.3756,54.9175,53.0321,13.36M,2.13%
13-Oct-21,53.362,52.7297,53.5612,51.3714,13.26M,1.20%
12-Oct-21,52.7268,53.9357,53.9358,50.8708,12.41M,-2.24%
11-Oct-21,53.9357,52.8747,55.2983,52.1553,13.50M,2.00%
10-Oct-21,52.88,55.6059,56.0731,52.6322,13.38M,-4.88%
9-Oct-21,55.592,53.579,57.3233,53.2458,14.81M,3.78%
8-Oct-21,53.5676,54.2671,55.0846,53.1382,13.83M,-1.29%
7-Oct-21,54.2671,54.8563,55.7483,53.1628,14.41M,-1.07%
6-Oct-21,54.8563,54.3536,55.9609,51.1338,13.84M,0.91%
5-Oct-21,54.3634,52.5544,54.8048,52.2955,14.18M,3.44%
4-Oct-21,52.5544,53.6807,53.7697,50.5681,13.28M,-2.08%
3-Oct-21,53.6714,53.2567,54.855,51.9444,14.30M,0.81%
2-Oct-21,53.2401,51.898,54.9254,51.1971,14.56M,2.59%
1-Oct-21,51.8966,47.0282,52.4548,46.6433,13.44M,10.36%
30-Sep-21,47.0265,45.5297,47.2696,45.2897,12.87M,3.28%
29-Sep-21,45.5331,44.9988,46.8409,44.6129,19.32M,1.19%
28-Sep-21,44.9988,45.378,48.6797,44.8162,20.42M,-0.85%
27-Sep-21,45.3844,47.2072,48.4061,45.3267,19.42M,-3.79%
26-Sep-21,47.1699,47.335,48.2243,44.0373,1.61M,-0.40%
25-Sep-21,47.3588,47.6558,49.4591,46.1704,20.80M,-0.64%
24-Sep-21,47.6649,51.3334,51.8624,44.1636,22.89M,-7.15%
23-Sep-21,51.3351,51.2117,51.5274,49.4567,21.11M,0.24%
22-Sep-21,51.2125,45.711,51.2982,44.9201,21.55M,12.04%
21-Sep-21,45.7087,48.9777,50.4608,44.7233,23.33M,-6.65%
20-Sep-21,48.9669,55.3309,55.4082,47.3098,23.49M,-11.49%
19-Sep-21,55.3205,57.1919,57.2443,54.7979,22.00M,-3.31%
18-Sep-21,57.2119,56.7002,58.4016,55.7296,23.90M,0.95%
17-Sep-21,56.6742,58.008,59.0125,56.039,25.41M,-2.30%
16-Sep-21,58.0079,59.1811,60.0855,56.8041,26.61M,-1.93%
15-Sep-21,59.15,57.1532,59.3532,56.2511,25.30M,3.64%
14-Sep-21,57.0751,55.7306,57.2881,55.271,23.47M,2.41%
13-Sep-21,55.7311,58.13,58.3489,53.529,25.43M,-4.13%
12-Sep-21,58.1309,57.0724,58.9468,56.08,24.10M,1.88%
11-Sep-21,57.0559,56.2731,58.2948,55.5658,25.90M,1.38%
10-Sep-21,56.2818,58.8651,60.3789,54.9592,26.57M,-4.36%
9-Sep-21,58.8445,58.5874,60.3367,57.4583,28.67M,0.50%
8-Sep-21,58.5543,59.2259,61.3437,53.3755,40.42M,-1.12%
7-Sep-21,59.2165,73.4955,73.8424,48.0026,46.54M,-19.43%
6-Sep-21,73.494,73.5466,77.2173,71.257,40.64M,-0.08%
5-Sep-21,73.556,68.8482,73.9518,68.1257,37.65M,6.88%
4-Sep-21,68.8183,70.0117,71.1929,68.0798,35.22M,-1.70%
3-Sep-21,70.0109,67.616,72.3586,66.099,37.49M,3.51%
2-Sep-21,67.6338,68.8091,70.1748,66.4636,34.43M,-1.71%
1-Sep-21,68.8081,63.8206,69.0004,62.1873,35.25M,7.74%
31-Aug-21,63.8674,61.8415,64.9816,60.7545,33.91M,3.31%
30-Aug-21,61.8187,63.2497,64.9502,61.0887,31.67M,-2.21%
29-Aug-21,63.2146,64.1729,65.7154,62.8109,33.03M,-1.50%
28-Aug-21,64.1793,64.0815,66.4802,62.8139,33.28M,0.12%
27-Aug-21,64.1054,59.7564,64.1905,58.66,30.56M,7.28%
26-Aug-21,59.757,63.7664,64.3741,58.8239,32.40M,-6.30%
25-Aug-21,63.7728,62.8965,64.8053,60.9321,33.77M,1.39%
24-Aug-21,62.9,68.2772,68.6288,60.986,33.96M,-7.87%
23-Aug-21,68.2754,67.3792,69.5273,66.8027,34.27M,1.34%
22-Aug-21,67.3749,67.5,68.6157,64.7833,34.33M,-0.19%
21-Aug-21,67.5008,70.2097,70.3395,66.8806,35.18M,-3.79%
20-Aug-21,70.1575,67.0742,70.3926,66.1651,35.69M,4.56%
19-Aug-21,67.0969,63.9281,67.0994,60.7054,37.22M,4.92%
18-Aug-21,63.9532,62.9169,66.1397,59.9516,42.02M,1.65%
17-Aug-21,62.9153,69.2207,71.6902,61.1576,39.19M,-9.11%
16-Aug-21,69.2214,74.9165,75.6662,65.5046,42.96M,-7.64%
15-Aug-21,74.9455,67.3277,77.064,67.0998,51.67M,11.32%
14-Aug-21,67.3228,64.2893,67.541,61.9363,37.81M,4.72%
13-Aug-21,64.2914,60.0438,64.4255,59.3862,34.82M,7.15%
12-Aug-21,59.9992,60.7662,65.8139,57.5938,34.57M,-1.34%
11-Aug-21,60.8118,58.8752,63.9068,58.6338,34.85M,3.27%
10-Aug-21,58.8846,59.0631,60.3363,57.0217,31.39M,-0.32%
9-Aug-21,59.0764,57.0857,60.3702,55.03,33.23M,3.46%
8-Aug-21,57.0989,60.6271,63.196,55.9169,37.39M,-5.84%
7-Aug-21,60.6387,53.1228,61.0826,52.6822,35.09M,14.26%
6-Aug-21,53.0701,52.4921,53.7047,51.3144,27.04M,1.12%
5-Aug-21,52.4817,51.6027,53.5526,48.8966,28.72M,1.70%
4-Aug-21,51.6037,49.4714,52.2549,48.5721,25.94M,4.34%
3-Aug-21,49.4549,51.3482,52.2407,48.5655,26.26M,-3.66%
2-Aug-21,51.3352,50.3191,52.3111,49.3628,28.58M,2.02%
1-Aug-21,50.3207,51.2642,54.0442,49.4548,29.53M,-1.84%
31-Jul-21,51.2645,51.0011,52.3816,49.7058,26.57M,0.38%
30-Jul-21,51.0718,49.423,51.4912,47.3036,388.25K,3.45%
29-Jul-21,49.3688,49.2029,50.0517,48.327,1.23M,0.36%
28-Jul-21,49.1926,49.5674,51.0379,47.9975,28.35M,-0.76%
27-Jul-21,49.5681,48.4284,50.3703,46.2426,29.28M,2.34%
26-Jul-21,48.4332,48.4406,55.8165,47.6572,35.75M,-0.03%
25-Jul-21,48.4475,48.091,48.8933,45.9038,28.40M,6.01%
24-Jul-21,45.7024,45.7494,46.2587,45.0004,24.03M,-0.10%
23-Jul-21,45.7479,43.3953,46.7054,43.0726,26.88M,5.41%
22-Jul-21,43.4012,42.9063,44.1189,41.9208,25.12M,1.22%
21-Jul-21,42.8799,39.2961,43.7692,38.6214,25.53M,9.13%
20-Jul-21,39.2922,41.5555,42.0686,37.8351,22.96M,-5.44%
19-Jul-21,41.5533,41.8882,43.8724,40.6133,24.99M,-0.79%
18-Jul-21,41.8827,41.4506,43.2759,41.0145,22.35M,1.13%
17-Jul-21,41.4152,41.1563,43.2897,40.2597,23.19M,0.63%
16-Jul-21,41.1557,43.2252,43.8507,40.6187,24.04M,-4.78%
15-Jul-21,43.2196,45.615,47.0537,42.307,24.81M,-5.25%
14-Jul-21,45.6149,45.5566,47.7299,42.5411,26.81M,0.10%
13-Jul-21,45.5675,47.7249,48.2087,45.1473,24.32M,-4.52%
12-Jul-21,47.7245,49.7057,50.6103,46.699,25.61M,-3.95%
11-Jul-21,49.6884,49.1271,50.5079,48.2649,24.77M,1.15%
10-Jul-21,49.1258,50.0738,51.3312,48.186,26.95M,-1.89%
9-Jul-21,50.0731,49.1999,51.3045,48.5103,26.79M,1.77%
8-Jul-21,49.1999,52.8267,52.9295,48.6207,23.61M,-6.85%
7-Jul-21,52.8178,54.6937,55.4996,52.663,23.80M,-3.43%
6-Jul-21,54.692,53.6867,56.8179,53.5417,24.46M,1.98%
5-Jul-21,53.6306,56.3542,56.911,52.91,25.06M,-4.84%
4-Jul-21,56.3607,57.2412,58.89,56.12,27.61M,-1.54%
3-Jul-21,57.2412,53.7375,58.4201,52.4529,27.46M,6.50%
2-Jul-21,53.7461,53.1414,55.1315,50.7994,27.06M,1.15%
1-Jul-21,53.1337,57.5411,58.2616,52.4066,22.62M,-7.62%
30-Jun-21,57.5143,56.3138,62.3675,51.8284,45.70M,2.13%
29-Jun-21,56.3138,43.3521,58.5553,43.1681,31.54M,29.98%
28-Jun-21,43.325,42.3187,44.5044,41.0986,20.45M,2.47%
27-Jun-21,42.2821,40.5122,42.4637,39.3882,18.63M,4.38%
26-Jun-21,40.5082,39.4154,40.9193,37.5647,19.65M,2.73%
25-Jun-21,39.4328,43.1115,45.3277,38.9797,24.52M,-8.52%
24-Jun-21,43.1038,40.7679,43.5199,38.757,23.14M,5.67%
23-Jun-21,40.7898,36.54,42.8284,34.6997,25.28M,11.70%
22-Jun-21,36.5187,39.5258,42.6476,32.2691,27.52M,-7.62%
21-Jun-21,39.5292,50.9585,51.4131,38.5687,26.51M,-22.48%
20-Jun-21,50.9923,50.9326,51.4967,47.0007,21.21M,0.16%
19-Jun-21,50.9095,52.5732,53.233,50.8732,20.69M,-3.07%
18-Jun-21,52.5194,55.5572,55.5618,50.581,21.93M,-5.48%
17-Jun-21,55.5663,55.3529,57.2465,54.3289,21.88M,0.38%
16-Jun-21,55.3585,58.1663,58.3123,54.8953,22.95M,-4.86%
15-Jun-21,58.1887,59.2584,60.1731,57.3573,25.00M,-1.80%
14-Jun-21,59.2574,59.2131,60.4187,56.435,25.49M,0.12%
13-Jun-21,59.184,55.2115,60.6222,53.7796,25.64M,7.23%
12-Jun-21,55.1917,56.9248,57.0143,53.142,26.19M,-3.05%
11-Jun-21,56.9305,57.9005,60.7142,56.1139,28.48M,-1.68%
10-Jun-21,57.9004,62.2749,63.346,57.1304,39.75M,-6.98%
9-Jun-21,62.2445,56.705,62.5487,53.5506,54.51M,9.77%
8-Jun-21,56.7068,58.0392,59.1164,49.6996,52.58M,-2.19%
7-Jun-21,57.9774,64.0481,65.1304,57.3886,49.11M,-9.46%
6-Jun-21,64.0355,63.1042,65.6032,62.7556,48.14M,1.46%
5-Jun-21,63.1124,64.7559,67.3849,61.703,52.56M,-2.53%
4-Jun-21,64.7535,69.8705,69.9084,61.4907,54.62M,-7.29%
3-Jun-21,69.8471,68.385,72.605,67.1795,52.00M,2.15%
2-Jun-21,68.3801,67.7817,70.2483,65.8336,51.72M,0.88%
